City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Porto Santo,PT,2022-04-11 15:51:57,33.072,-16.3415,66.58,63,40,16.11,scattered clouds
109,Talara,PE,2022-04-11 15:51:58,-4.5772,-81.2719,79.56,61,0,18.41,clear sky
110,Aksu,CN,2022-04-11 15:51:58,41.1231,80.2644,68.23,22,100,9.26,overcast clouds
111,Chokurdakh,RU,2022-04-11 15:51:58,70.6333,147.9167,-2.65,95,100,7.9,overcast clouds
112,Kailua,US,2022-04-11 15:51:22,21.4022,-157.7394,74.48,83,64,3.0,broken clouds
113,Dandong,CN,2022-04-11 15:51:59,40.1292,124.3947,55.9,92,100,3.74,overcast clouds
114,Tecoanapa,MX,2022-04-11 15:51:59,16.5167,-98.75,84.96,56,69,7.14,broken clouds
115,Baisha,CN,2022-04-11 15:51:59,26.5222,110.9311,72.3,67,0,4.63,clear sky
116,Orocue,CO,2022-04-11 15:52:00,4.7912,-71.3354,89.96,53,100,6.22,moderate rain
117,Tuktoyaktuk,CA,2022-04-11 15:52:00,69.4541,-133.0374,-13.0,77,20,9.22,few clouds
118,Muros,ES,2022-04-11 15:52:00,42.7762,-9.0603,60.15,86,100,16.28,overcast clouds
119,Bluff,NZ,2022-04-11 15:52:00,-46.6,168.3333,49.8,86,100,3.04,light rain
120,Hermanus,ZA,2022-04-11 15:52:01,-34.4187,19.2345,78.8,62,0,2.19,clear sky
121,Abu Dhabi,AE,2022-04-11 15:48:05,24.4667,54.3667,84.22,66,0,4.61,clear sky
122,Saint Anthony,US,2022-04-11 15:51:32,45.0205,-93.218,51.93,58,0,16.11,clear sky
123,Fortuna,US,2022-04-11 15:52:02,40.5982,-124.1573,46.65,80,20,21.85,few clouds
124,Chuy,UY,2022-04-11 15:52:02,-33.6971,-53.4616,75.36,70,98,10.76,overcast clouds
125,Leopold,AU,2022-04-11 15:52:02,-38.1833,144.4667,59.09,71,100,6.91,overcast clouds
126,Yenisehir,TR,2022-04-11 15:48:20,40.2644,29.6531,44.65,81,75,13.8,light rain
127,Canto Do Buriti,BR,2022-04-11 15:52:03,-8.11,-42.9444,92.91,44,21,2.84,light rain
128,Carnarvon,AU,2022-04-11 15:52:03,-24.8667,113.6333,68.07,64,43,11.5,scattered clouds
129,Hobbs,US,2022-04-11 15:52:04,32.7026,-103.136,62.69,27,0,9.22,clear sky
130,Mount Isa,AU,2022-04-11 15:49:00,-20.7333,139.5,82.17,28,11,4.61,light rain
131,Kalmunai,LK,2022-04-11 15:52:04,7.4167,81.8167,80.73,80,97,4.65,overcast clouds
132,Bergen,NO,2022-04-11 15:52:04,60.392,5.328,45.01,55,40,11.5,scattered clouds
133,Ardatov,RU,2022-04-11 15:52:05,55.2421,43.097,56.17,77,100,9.64,overcast clouds
134,Isangel,VU,2022-04-11 15:53:05,-19.55,169.2667,78.93,79,15,6.87,few clouds
135,Ust-Kuyga,RU,2022-04-11 15:53:06,70.0167,135.6,-3.23,99,100,2.21,overcast clouds
136,Tiksi,RU,2022-04-11 15:53:06,71.6872,128.8694,-11.63,99,53,8.46,broken clouds
137,Ondangwa,NA,2022-04-11 15:53:06,-17.9167,15.95,84.56,36,99,8.57,overcast clouds
138,Geraldton,AU,2022-04-11 15:53:07,-28.7667,114.6,59.41,88,75,4.61,broken clouds
139,Yellowknife,CA,2022-04-11 15:53:07,62.456,-114.3525,10.92,67,100,16.11,light snow
140,Dalvik,IS,2022-04-11 15:53:07,65.9702,-18.5286,33.73,89,96,6.67,light snow
141,Yinchuan,CN,2022-04-11 15:53:08,38.4681,106.2731,50.79,17,99,7.2,overcast clouds
142,Saint-Pierre,RE,2022-04-11 15:53:08,-21.3393,55.4781,76.68,75,59,23.02,broken clouds
143,Thompson,CA,2022-04-11 15:52:36,55.7435,-97.8558,26.76,80,75,5.75,broken clouds
144,Saint George,US,2022-04-11 15:53:08,37.1041,-113.5841,58.42,17,0,3.44,clear sky
145,Altoona,US,2022-04-11 15:52:24,40.5187,-78.3947,58.24,56,94,4.0,overcast clouds
146,Boyolangu,ID,2022-04-11 15:53:09,-8.1181,111.8935,75.9,87,27,0.54,scattered clouds
147,Laguna,US,2022-04-11 15:53:09,38.421,-121.4238,53.06,85,100,16.11,mist
148,Hualmay,PE,2022-04-11 15:53:10,-11.0964,-77.6139,72.05,76,88,9.44,overcast clouds
149,Aklavik,CA,2022-04-11 15:53:10,68.2191,-135.0107,-3.41,96,39,3.58,scattered clouds
150,Rucar,RO,2022-04-11 15:53:10,45.4,25.1667,43.45,69,77,6.64,broken clouds
151,Saldanha,ZA,2022-04-11 15:53:11,-33.0117,17.9442,80.65,60,0,10.4,clear sky
152,Prince Albert,CA,2022-04-11 15:53:11,53.2001,-105.7677,17.55,67,100,16.11,overcast clouds
153,Anadyr,RU,2022-04-11 15:53:11,64.75,177.4833,14.5,92,100,8.95,overcast clouds
154,Pevek,RU,2022-04-11 15:53:12,69.7008,170.3133,-25.49,100,66,7.99,broken clouds
155,Caloundra,AU,2022-04-11 15:53:12,-26.8,153.1333,68.0,98,24,6.42,few clouds
156,Kijang,KR,2022-04-11 15:53:12,35.2442,129.2139,62.98,90,99,7.67,overcast clouds
157,Kisiwani,TZ,2022-04-11 15:53:13,-4.1333,37.95,80.01,56,97,9.71,overcast clouds
158,Sharjah,AE,2022-04-11 15:53:13,25.3573,55.4033,84.49,45,0,11.5,clear sky
159,Rudnogorsk,RU,2022-04-11 15:53:13,57.2639,103.7519,24.19,96,100,2.51,overcast clouds
160,Tiznit,MA,2022-04-11 15:53:14,29.5833,-9.5,66.11,52,69,9.82,broken clouds
161,Vostok,RU,2022-04-11 15:53:14,46.4856,135.8833,35.19,100,100,2.15,light snow
162,Severo-Kurilsk,RU,2022-04-11 15:53:14,50.6789,156.125,26.37,79,32,9.15,scattered clouds
163,Meadow Lake,US,2022-04-11 15:53:15,34.8014,-106.5436,62.62,35,3,14.79,clear sky
164,Mahajanga,MG,2022-04-11 15:53:15,-15.7167,46.3167,84.22,65,20,4.61,few clouds
165,San Patricio,US,2022-04-11 15:53:16,28.017,-97.5169,78.89,68,99,17.76,overcast clouds
166,Acajutla,SV,2022-04-11 15:53:16,13.5928,-89.8275,87.84,50,59,6.6,broken clouds
167,Bubaque,GW,2022-04-11 15:53:16,11.2833,-15.8333,77.23,68,11,13.82,few clouds
168,San Juan,AR,2022-04-11 15:48:27,-31.5375,-68.5364,64.04,34,0,6.69,clear sky
169,Ust-Kan,RU,2022-04-11 15:53:17,50.9276,84.761,24.98,76,4,1.36,clear sky
170,Kutum,SD,2022-04-11 15:53:17,14.2,24.6667,91.06,7,9,9.86,clear sky
171,Newport,GB,2022-04-11 15:49:18,51.5877,-2.9984,59.68,59,100,12.59,overcast clouds
172,Henties Bay,NA,2022-04-11 15:53:17,-22.116,14.2845,67.42,69,1,9.69,clear sky
173,Komsomolskiy,UZ,2022-04-11 15:53:18,40.4272,71.7189,74.12,38,91,6.91,overcast clouds
174,Port Hedland,AU,2022-04-11 15:53:18,-20.3167,118.5667,78.85,78,48,6.91,scattered clouds
175,Makakilo City,US,2022-04-11 15:51:28,21.3469,-158.0858,73.0,76,0,5.75,clear sky
176,Nargana,PA,2022-04-11 15:53:19,9.4428,-78.5906,81.45,78,100,17.78,overcast clouds
177,Sinnamary,GF,2022-04-11 15:53:19,5.3833,-52.95,80.35,83,93,13.0,overcast clouds
178,Khash,IR,2022-04-11 15:53:19,28.2211,61.2158,76.14,10,14,4.68,few clouds
179,Macenta,GN,2022-04-11 15:54:20,8.5435,-9.471,89.6,42,51,7.58,light rain
180,San Rafael,AR,2022-04-11 15:54:20,-34.6177,-68.3301,62.96,31,0,6.24,clear sky
181,Kuchera,IN,2022-04-11 15:54:20,26.9839,73.9719,90.97,12,100,9.98,overcast clouds
182,Mokhotlong,LS,2022-04-11 15:54:21,-29.2894,29.0675,43.39,92,80,0.83,broken clouds
183,Pacific Grove,US,2022-04-11 15:54:21,36.6177,-121.9166,50.67,88,80,5.99,light rain
184,Los Llanos De Aridane,ES,2022-04-11 15:54:22,28.6585,-17.9182,65.95,73,100,5.75,overcast clouds
185,Malibu,US,2022-04-11 15:54:22,34.005,-118.8101,63.68,88,87,3.33,overcast clouds
186,Tanda,IN,2022-04-11 15:54:22,26.55,82.65,88.11,21,8,6.8,clear sky
187,Arraial Do Cabo,BR,2022-04-11 15:54:23,-22.9661,-42.0278,84.06,58,20,10.36,few clouds
188,Grand-Santi,GF,2022-04-11 15:54:23,4.25,-54.3833,82.09,80,97,3.76,overcast clouds
189,New Norfolk,AU,2022-04-11 15:54:23,-42.7826,147.0587,50.72,66,49,2.91,scattered clouds
190,Dingle,PH,2022-04-11 15:54:24,10.9995,122.6711,74.16,95,100,12.64,heavy intensity rain
